user_id,friend_id,created_at,text
"1234143435365310464
",1344626281552379904,2020-12-31 12:47:42,"Don't worry Nanba 
Be Happyyy!!!😊😊

#MasterUpdate will come 
#MasterTrailer"
"1234143435365310464
",1344621884579536897,2020-12-31 12:30:13,"Timeline ippo VERITHANAM 🔥🔥🔥
#MasterTrailer"
"1234143435365310464
",1344855179548454912,2021-01-01 03:57:15,"RT @ThalapathyNiyas: Annan @imKBRshanthnu And @MrRathna Bro Tweet Ha pathan 

#MasterTrailer La Ovvoru Frame Mum Verithanam Ma Irukka 😊

@D…"
"1011420724932669440
",1344890096307163138,2021-01-01 06:16:00,"@HITMAN_DHFM I Don't Know Brother I Think Direct Theatrical Release ✨

No Official Confirmation About #MasterTrailer ."
"1011420724932669440
",1344503525481410561,2020-12-31 04:39:54,#MasterTrailer Soon 🔥
"1140905007882969088
",1344923131832483840,2021-01-01 08:27:16,RT @SSMusicTweet: #MasterTrailer Loading 🔜 !!
"1178574207770230784
",1344915252559839232,2021-01-01 07:55:58,Keep calm Upcoming Days 😒🙏#MasterTrailer #Master @actorvijay
"1178574207770230784
",1344910441277886466,2021-01-01 07:36:51,"#Master Pan India Film Without Trailer Superb Unexpected😒
#MasterTrailer @Actorvijay #MasterPongal"
"1178574207770230784
",1344224019898359809,2020-12-30 10:09:15,RT @ActorVijayFC: #MasterTrailer is there! Our #MASTER Director Lokesh Confirmed in Recent Vikatan Interview.🔥💯
"1178574207770230784
",1344908286676455424,2021-01-01 07:28:17,"Pan India Release Without Releasing a Trailer ? #Master 🕴️

@Jagadishbliss @MrRathna @Dir_Lokesh #MasterTrailer !!!"
"1178574207770230784
",1344714708167716864,2020-12-31 18:39:04,"RT @iamPojesh: #NewYearWithMaster #MasterTrailer 

#MasterPongal #Master @actorvijay #Thalapathy65"
"780451286797856768
",1344589197064040450,2020-12-31 10:20:20,RT @MasterOfficiaI: Which one you guys want to see ? #MasterTeaser - 2 Or #MasterTrailer ? #Master #ThalapathyVijay
"780451286797856768
",1344538683924508672,2020-12-31 06:59:37,"RT @MasterOfficiaI: Director #LokeshKanagaraj about #Master Teaser &amp; Trailer! @actorvijay @Dir_Lokesh #MasterTrailer 

Watch Full Interview…"
"780451286797856768
",1344621078899920896,2020-12-31 12:27:01,RT @MasterMovieOff: #MasterTrailer
"780451286797856768
",1344561669217767424,2020-12-31 08:30:57,"RT @MasterMovieOff: #MasterTeaser - 2
         (Or)
#MasterTrailer"
"780451286797856768
",1344486041588092928,2020-12-31 03:30:26,"Perfect way to welcome #MasterTrailer 😎🔥

#MasterTeaserHits1MComments"
"780451286797856768
",1344307200559173633,2020-12-30 15:39:47,"RT @TeamKOVF: Malayalam card design posters for #Master ✨ 

#MasterPongal #MasterTrailer #MasterKerala

@actorvijay @Dir_Lokesh 
@anirudhof…"
"780451286797856768
",1344223983298703367,2020-12-30 10:09:06,"#MasterTrailer again officially re-confirmed by Director Lokesh himself ✋😎

Get READY for the fireworks 😎🔥

#Master @actorvijay"
"1046364358748438528
",1344563166521425920,2020-12-31 08:36:54,"Possibility #MasterTrailer Running Time 1Minute 26 Seconds...🤜🤛

#Master #VijayTheMaster #MasterPongal @actorvijay"
"1046364358748438528
",1344705648907309057,2020-12-31 18:03:04,"#MasterTrailer Varuma ?

#Master is a pan Indian movie need time to dubbed in all version will arrive before 5th Ja… https://t.co/WVZjAp4NVa"
"1046364358748438528
",1344697674038054912,2020-12-31 17:31:23,#MasterTrailer Update 🔜
"1046364358748438528
",1344260487588974592,2020-12-30 12:34:10,"😏😏😏

#MasterTrailer @actorvijay https://t.co/ZkKJQPhasp"
"1046364358748438528
",1344912068470665222,2021-01-01 07:43:19,#MasterTrailer https://t.co/T4iuQQdeDl
"2331136454
",1344636859654176768,2020-12-31 13:29:44,"RT @Fairydollyzz: #Master Kerala Expecting In Theaters From Jan 13th !! 😎

#MasterTrailer @actorvijay https://t.co/Ex6CmsVDxZ"
"2331136454
",1344225412449062912,2020-12-30 10:14:47,#MasterTrailer is There ! Officially Confirmed By Our #Master Director @Dir_Lokesh in Recent Vikatan Interview.🔥 https://t.co/QKT9UCVU2M
"2331136454
",1344690872097660933,2020-12-31 17:04:21,@Dr_Ecr_official Ultimate Anna. Amazing #MasterTrailer #Master
"1263118721599418368
",1344635723626868736,2020-12-31 13:25:13,#MasterTrailer 🔥🔥🔥
"1263118721599418368
",1344621000822980609,2020-12-31 12:26:43,#MasterTrailer
"1263118721599418368
",1344561566524477441,2020-12-31 08:30:32,"#MasterTeaser - 2
         (Or)
#MasterTrailer"
"1263118721599418368
",1344912830705766401,2021-01-01 07:46:20,RT @TeluguVijayFans: #MasterTrailer https://t.co/T4iuQQdeDl
"1263118721599418368
",1344577159537442821,2020-12-31 09:32:30,Soo #MasterTrailer is confirmed now .!😎 Bring the Update Soon @Dir_Lokesh @Jagadishbliss @XBFilmCreators ..!!❤️🙏 #Master @actorvijay
