CreatedAt,tweets,User_ID,User_Name
2020-12-28 14:08:43,b'RT @Keralavijayism: #SaviourOfKollywoodVIJAY Our Tag Crossed 60K Tweets \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n\n#Master #Thalapathy65 #SaviourOfKollywoodVIJAY \n@actorvijay #Ma\xe2\x80\xa6',1119284625115795456,RAMEŞH VJ😎
,,,
2020-12-28 14:08:42,b'RT @AVFOTeam: Its time for #MasterTrailer \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x92\xaf @actorvijay https://t.co/CTpMw36qal',1211526046119428096,Meer Ikhlasuddin
,,,
2020-12-28 14:08:42,b'RT @Viji__Jeni: The 1st Single From Master Kannada Version Will Be Out This Week\n\n#MasterVIJAYEnteringNorth #MasterTrailer \n#Master @actorv\xe2\x80\xa6',1261571304760569861,ஷாஜகான் 🇱🇰
,,,
2020-12-28 14:08:40,b'RT @INOXMovies: #MasterTrailer!\nA massive update coming your way tomorrow 12.30 pm!\n\n #Thalapathy Fans Get Ready for #Master!\n#MasterUpdate\xe2\x80\xa6',1011420724932669440,Jothibaskar
,,,
2020-12-28 14:08:38,b'RT @INOXMovies: #MasterTrailer!\nA massive update coming your way tomorrow 12.30 pm!\n\n #Thalapathy Fans Get Ready for #Master!\n#MasterUpdate\xe2\x80\xa6',1140905007882969088,Thàlàpàthy PraDeeP 😎🔥
,,,
2020-12-28 14:08:26,b'RT @Viji__Jeni: The 1st Single From Master Kannada Version Will Be Out This Week\n\n#MasterVIJAYEnteringNorth #MasterTrailer \n#Master @actorv\xe2\x80\xa6',1264423397548855300,🥃🍾நான்🥂 கேடு🍺 கெட்ட🍻 குடிகாரன்🚬
,,,
2020-12-28 14:08:25,b'RT @girishjohar: Dont think anything else is eagerly awaited as #MasterTrailer is. \xe2\xad\x90\xf0\x9f\x92\xa5\xe2\xad\x90\xf0\x9f\x92\xa5\n\xf0\x9f\xa5\x81 \xf0\x9f\x98\x8e\xf0\x9f\x98\x8e\xf0\x9f\x94\xa5\n\nMany #ThalapathyVijay Fans have started the\xe2\x80\xa6',1155874873199083521,Nithinsasi Vfc
,,,
2020-12-28 14:08:24,b'RT @ActorVijayFP: #MasterTrailer Announcement with release Date\xf0\x9f\x92\xa5 @actorvijay @MasterOfficiaI',1211874392692547585,Master Rasigan
,,,
2020-12-28 14:08:22,b'RT @MasterThe_Film: #Master release update by tomorrow 12:30pm \xf0\x9f\x94\xa5\xf0\x9f\x98\x8d\n\n#MasterUpdate #Master\n#MasterTrailer @actorvijay\n@MasterThe_Film @Dir_Lo\xe2\x80\xa6',1211526046119428096,Meer Ikhlasuddin
,,,
2020-12-28 14:08:14,b'RT @Itz_MersalImran: #MasterTrailer Update On New Year \nTrailer On This Sunday Evening Awww Itz Possible Guys Parpoom \nPodraa Vediyaaa Thal\xe2\x80\xa6',1178574207770230784,Aathif Reigns
,,,
2020-12-28 14:07:54,b'RT @INOXMovies: #MasterTrailer!\nA massive update coming your way tomorrow 12.30 pm!\n\n #Thalapathy Fans Get Ready for #Master!\n#MasterUpdate\xe2\x80\xa6',780451286797856768,gopzzz
,,,
2020-12-28 14:07:50,b'RT @ThalapathyFilms: #MasterTrailer Along with Release Date!\xf0\x9f\xa5\x81\xf0\x9f\x92\xa5 @ThalapathyFilms',1046364358748438528,Fan of Vijay
,,,
2020-12-28 14:07:49,b'RT @troll_Memes09: #MasterTrailer Locked \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',1033633346050383873,Rohith Riyaz
,,,
2020-12-28 14:07:43,b'RT @Itz_MersalImran: #MasterTrailer Update On New Year \nTrailer On This Sunday Evening Awww Itz Possible Guys Parpoom \nPodraa Vediyaaa Thal\xe2\x80\xa6',1305167631587057665,Ajith M Vinay
,,,
2020-12-28 14:07:42,b'RT @troll_Memes09: #MasterTrailer Locked \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',1046364358748438528,Fan of Vijay
,,,
2020-12-28 14:07:38,b'RT @dp_karthik09: Chances of #MasterTrailer falling on Sunday - Jan 3rd 2021.\n\nPapom \xf0\x9f\xa4\x9c\xf0\x9f\xa4\x9b',2331136454,Praveenkp
,,,
2020-12-28 14:07:38,b'RT @Itz_MersalImran: #MasterTrailer Update On New Year \nTrailer On This Sunday Evening Awww Itz Possible Guys Parpoom \nPodraa Vediyaaa Thal\xe2\x80\xa6',1263118721599418368,Mš Mūgįîï 😍²⁸ʸᵉᵃʳˢᴼᶠⱽᶦʲᵃʸᶦˢᵐ
,,,
2020-12-28 14:07:36,b'RT @TDT_officl: #SaviourOfKollywoodVIJAY #MasterTrailer\n\xf0\x9f\x98\x8dTeam @TDT_officl \nPattas ah irukum.......\xf0\x9f\x92\xa5countdown startz\nStay tuned Tomorrow \xf0\x9f\x98\x8d\n@\xe2\x80\xa6',1008242850343972870,Bigil Ashok
,,,
2020-12-28 14:07:36,b'RT @TDT_officl: #SaviourOfKollywoodVIJAY #MasterTrailer\n\xf0\x9f\x98\x8dTeam @TDT_officl \nPattas ah irukum.......\xf0\x9f\x92\xa5countdown startz\nStay tuned Tomorrow \xf0\x9f\x98\x8d\n@\xe2\x80\xa6',1081966248416620545,Ramkumar
,,,
2020-12-28 14:07:33,"b'RT @TicketNew: \xf0\x9f\x94\xa5\xf0\x9f\x8e\xac#TicketNewMass \xf0\x9f\x8e\xac\xf0\x9f\x94\xa5\n\nFor #Bigil Trailer Announcement Poster, the phrase was ""Podra Vediya""\xf0\x9f\x94\xa5\n\nAny Phrase Guess for #MasterTra\xe2\x80\xa6'",1329275738856452097,lk saravanan
,,,
2020-12-28 14:07:33,b'RT @ActorVijayFP: #MasterTrailer Announcement with release Date\xf0\x9f\x92\xa5 @actorvijay @MasterOfficiaI',1298826846319136769,Venky
,,,
2020-12-28 14:07:32,b'RT @Itz_MersalImran: #MasterTrailer Update On New Year \nTrailer On This Sunday Evening Awww Itz Possible Guys Parpoom \nPodraa Vediyaaa Thal\xe2\x80\xa6',1292680938019667968,Deepak Raj
,,,
2020-12-28 14:07:30,b'RT @troll_Memes09: #MasterTrailer Locked \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',1142018815594643457,Nishanth²⁸ ʸᵉᵃʳˢ ᵒᶠ ᵛⁱʲᵃʸⁱˢᵐ
,,,
2020-12-28 14:07:22,b'RT @Itz_MersalImran: #MasterTrailer Update On New Year \nTrailer On This Sunday Evening Awww Itz Possible Guys Parpoom \nPodraa Vediyaaa Thal\xe2\x80\xa6',1133421223990317057,Aravindh VFC
,,,
2020-12-28 14:07:18,"b""RT @Vasanth_Master: Master Is Not Just A Movie It's Been A 10 Months Of Patience Of All Thalapathy Fans \xf0\x9f\x98\x8c\n\n#Master #MasterPongal #MasterTra\xe2\x80\xa6""",1223879365680779265,Prof. John D²⁸ ʸᵉᵃʳˢ ᵒᶠ ᵛⁱʲᵃʸism
,,,
2020-12-28 14:07:15,b'RT @ThalapathyFilms: #MasterTrailer Along with Release Date!\xf0\x9f\xa5\x81\xf0\x9f\x92\xa5 @ThalapathyFilms',1146037598168596486,Govindaraj RAJ
,,,
2020-12-28 14:07:04,b'RT @bussyAnandOff: #MasterTrailer Update Today at 5.00PM \xf0\x9f\x94\xa5\xf0\x9f\x92\xaa #Master @actorvijay',1217290623381688322,V'íçky143Ñ
,,,
2020-12-28 14:07:04,b'RT @troll_Memes09: #MasterTrailer Locked \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',1292680938019667968,Deepak Raj
,,,
2020-12-28 14:07:04,b'RT @Itz_MersalImran: #MasterTrailer Update On New Year \nTrailer On This Sunday Evening Awww Itz Possible Guys Parpoom \nPodraa Vediyaaa Thal\xe2\x80\xa6',1259357593773858816,Vijay Fanatic
,,,
2020-12-28 14:07:04,b'RT @PragyaNagraOff: Looks like #MasterTrailer Announcement is Coming \xf0\x9f\xa5\xb3\xf0\x9f\x92\xa5\xf0\x9f\x98\x8d @actorvijay',1142046204278108167,Master 🤫💥😎
,,,
2020-12-28 14:07:03,b'RT @Itz_MersalImran: #MasterTrailer Update On New Year \nTrailer On This Sunday Evening Awww Itz Possible Guys Parpoom \nPodraa Vediyaaa Thal\xe2\x80\xa6',1217298862253080576,MASTER2021
,,,
2020-12-28 14:07:02,b'RT @KwoodTroll: #MasterTrailer Update Soon  !\n\n#SaviourOfKollywoodVIJAY #MASTER https://t.co/lYblr4ULZB',1328709898050228225,MaayoN 🎩💫ᴹᵃˢᵗᵉʳ
,,,
2020-12-28 14:06:58,b'RT @girishjohar: Dont think anything else is eagerly awaited as #MasterTrailer is. \xe2\xad\x90\xf0\x9f\x92\xa5\xe2\xad\x90\xf0\x9f\x92\xa5\n\xf0\x9f\xa5\x81 \xf0\x9f\x98\x8e\xf0\x9f\x98\x8e\xf0\x9f\x94\xa5\n\nMany #ThalapathyVijay Fans have started the\xe2\x80\xa6',2866867036,vicky raina
,,,
2020-12-28 14:06:57,b'RT @ThalapathyFilms: #MasterTrailer Along with Release Date!\xf0\x9f\xa5\x81\xf0\x9f\x92\xa5 @ThalapathyFilms',1320734663283933188,Thalapathy
,,,
2020-12-28 14:06:52,b'RT @IdrishVijay: TRAILER Posterrr\xf0\x9f\x98\xb3\xf0\x9f\x94\xa5 \n#Thalapathyyyyy Massyyyyyyy...!! #MasterTRAILER #MASTER',1237669634951614464,Ganthi ᴹᴬˢᵀᴱᴿ
,,,
2020-12-28 14:06:52,b'RT @TicketNew: \xf0\x9f\x9a\xa8\xf0\x9f\x94\xa5#TicketNewReleaseAlert \xf0\x9f\x94\xa5\xf0\x9f\x9a\xa8\n\n#Nanba!! A #MassiveMasterUpdate \xf0\x9f\x85\x9b\xf0\x9f\x85\x9e\xf0\x9f\x85\x90\xf0\x9f\x85\x93\xf0\x9f\x85\x98\xf0\x9f\x85\x9d\xf0\x9f\x85\x96...tomorrow at \xf0\x9d\x9f\x8f\xf0\x9d\x9f\x90.\xf0\x9d\x9f\x91\xf0\x9d\x9f\x8e\xf0\x9d\x90\xa9\xf0\x9d\x90\xa6 \xf0\x9f\x94\x9c Get ready! #KoluthungaDa \xf0\x9f\xa7\xa8\xf0\x9f\x98\x8e\n\n#M\xe2\x80\xa6',1263349149052723200,Mersalvicky
,,,
2020-12-28 14:06:46,b'RT @VijayFansTrends: Ready for #MasterTrailer announcement? \xf0\x9f\x91\x80 @actorvijay',1290609820999983105,Amulya
,,,
2020-12-28 14:06:45,b'RT @SSTweeps: #MasterTrailer Update soon...\n\nBe ready for #Master Pongal \xe2\x9a\xa1',1234143435365310464,✘ℬⅈℊⅈℒ•aⷴmͦiⷡrͩtͬhⷬᴹᵃˢᵗᵉʳ ❁
,,,
2020-12-28 14:06:43,b'RT @Vasanth_Master: Clash Begins Soon...\xf0\x9f\x92\xa5\n\n#Master #MasterPongal #MasterTrailer #SaviourOfKollywoodVIJAY #MasterVIJAYEnteringNorth #MasterH\xe2\x80\xa6',1228322204099592192,☆KRISHNA💝VJ❣RASIGAN☆
,,,
2020-12-28 14:06:39,b'RT @IdrishVijay: TRAILER Posterrr\xf0\x9f\x98\xb3\xf0\x9f\x94\xa5 \n#Thalapathyyyyy Massyyyyyyy...!! #MasterTRAILER #MASTER',1234143435365310464,✘ℬⅈℊⅈℒ•aⷴmͦiⷡrͩtͬhⷬᴹᵃˢᵗᵉʳ ❁
,,,
2020-12-28 14:06:36,b'RT @Vijayfanzh: Wait for it !!! We have arena of updates and also #Thalapathy65 \xf0\x9f\x8c\x9f\n\nSeating capacity increase \xf0\x9f\x91\x89\nMaster release date announce\xe2\x80\xa6',1320734663283933188,Thalapathy
,,,
2020-12-28 14:06:36,b'RT @raphael2371278: Four U/A \xf0\x9f\x92\xaa\xf0\x9f\x92\xa5\xf0\x9f\xa4\x9c\xf0\x9f\xa4\x9b\n#MasterUAcertified \n#MasterPongal \n#MasterTrailer \n#master\n#MasterFromJan13 https://t.co/tljCZD3QeS',1328638302425997312,Vetri Maaran
,,,
2020-12-28 14:06:28,b'RT @Itz_MersalImran: #MasterTrailer Update On New Year \nTrailer On This Sunday Evening Awww Itz Possible Guys Parpoom \nPodraa Vediyaaa Thal\xe2\x80\xa6',1142046204278108167,Master 🤫💥😎
,,,
2020-12-28 14:06:28,b'RT @girishjohar: Dont think anything else is eagerly awaited as #MasterTrailer is. \xe2\xad\x90\xf0\x9f\x92\xa5\xe2\xad\x90\xf0\x9f\x92\xa5\n\xf0\x9f\xa5\x81 \xf0\x9f\x98\x8e\xf0\x9f\x98\x8e\xf0\x9f\x94\xa5\n\nMany #ThalapathyVijay Fans have started the\xe2\x80\xa6',1207007316941262848,arun kumar
,,,
